url,title,text,topic,tags,date
https://lenta.ru/news/2007/03/20/girouard/,Сержант армии США приговорен к десяти годам за расстрел иракцев,"Сержант Рэймонд Джируард (Raymond Girouard) в понедельник был приговорен к десяти годам лишения свободы за участие в расстреле трех иракских заключенных, передает агентство Reuters. 24-летний военный из Свитуотера, штат Теннесси, обвинялся в преднамеренном убийстве и других преступлениях, которые могли бы повлечь пожизненное заключение, однако присяжные признали его виновным лишь в убийстве по небрежности. По данным следствия, в мае 2006 года Джируард возглавлял группу военных, проводивших зачистку в предполагаемом лагере боевиков к юго-западу от Тикрита. Американцы арестовали нескольких человек, затем дали им понять, что освобождают их. Когда иракцы побежали, военные их расстреляли. Трое других военнослужащих, находившихся под командованием Джируарда и принимавшие участие в расстреле, пошли на сделку с правосудием и были осуждены ранее. Двое получили по 18 лет, а третий - девять месяцев тюремного заключения. Подчиненные сержанта утверждали, что именно он приказал им стрелять. Однако сам Джируард отрицает свою вину. Командующий подразделения должен подтвердить вынесенный судом приговор, отмечает агентство, а сам Джируард может быть помилован по истечении трети срока заключения.",Мир,Все,2007/03/20
https://lenta.ru/news/2016/12/23/parrot/,"Попугай научился изображать звук запроса «О'кей, Google»","Африканский серый попугай изобразил звук, появляющийся после запроса «О'кей, Google». Ролик с говорящей птицей был опубликован на YouTube-канале MissSadieSue. На видео, которое за пять дней набрало более 500 тысяч просмотров, попугай имитирует сигнал поисковика в ответ на фразу хозяйки «О'кей, Google». Африканские серые попугаи или Жако считаются самыми талантливыми птицами, способными к звукоподражанию. В среднем они могут запоминать более 1,5 тысячи слов.",Интернет и СМИ,Вирусные ролики,2016/12/23
https://lenta.ru/news/2017/05/19/newhome/,В Москве нашли 300 площадок под переселение жителей пятиэтажек,"Столичные власти рассматривают 300 объектов, которые могут стать стартовыми площадками в рамках подготовки к реновации. Об этом заявил заместитель мэра Москвы по вопросам градостроительной политики и строительства Марат Хуснуллин, в пятницу, 19 мая, передает ТАСС. «Порядка 300 стартовых площадок находится в работе почти на 400 миллионов квадратных метров. Осенью уже готовы начать строительство после подведения итогов голосования», — сказал он, добавив, что около 30 из них принадлежат инвесторам, с которыми могут вестись переговоры. «Мы не планируем покупать у инвесторов стартовые площадки. Однако есть 25-30 площадок, которые подходят под программу реновации, если жители районов проголосуют за них, то переговоры будут вестись на тему обмена», — уточнил Хуснуллин. Предварительный список домов, включенных в программу реновации, столичные власти опубликовали2 мая. В него попало 4546 объектов. В перечень вошли пятиэтажки первого периода индустриального домостроения и некоторые другие дома, находящиеся в неудовлетворительном техническом состоянии. Голосование по вопросу включения домов в финальный список подлежащих сносу объектов началось 15 мая и будет идти до 15 июня 2017 года. Снести все хрущевки в Москве и построить на их месте новое жилье мэру столицы Сергею Собянину 21 февраля поручил президент России Владимир Путин.",Дом,Квартира,2017/05/19
https://lenta.ru/news/2009/07/12/wife/,В убийстве экс-чемпиона мира по боксу заподозрили его жену,"Бразильская полиция задержала жену погибшего экс-чемпиона мира по боксу Артуро Гатти 23-летнюю Аманду Родригес (Amanda Rodrigues) по подозрению в его убийстве, сообщает агентство AP. Причиной задержания стали противоречия в показаниях Родригес. Как сообщает интернет-издание Boxingscene, жена боксера на допросе рассказала полиции, что вечером 10 июля они с Гатти сильно поссорились и, когда вернулись в номер, спортсмен был пьян и лег спать. Как утверждает Родригес, она проснулась в шесть часов утра, позвала мужа, однако тот не откликнулся. Женщина решила, что Гатти спит, и лишь около девяти утра, попытавшись разбудить его, она обнаружила, что боксер мертв. По словам представителя полиции штата Пернамбуку, жена боксера не сумела внятно объяснить полицейским, как она могла провести в одной комнате с мужем так много времени и не заметить того, что Гатти умер. Причина смерти спортсмена не установлена, однако, по предварительным данным полиции, Гатти был задушен. На шее боксера были обнаружены характерные следы, а в номере отеля было найдено предполагаемое орудие убийства – ремешок от женской сумочки со следами крови. Кроме того, у Гатти обнаружили травму затылка, нанесенную неустановленным предметом. Тело знаменитого канадского боксера было обнаружено утром 11 июля в одном из отелей города Порту-де-Галиньяс в бразильском штате Пернамбуку. В Бразилии Гатти отдыхал с женой и годовалым сыном. По словам близкого друга боксера, Гатти и Родригес в последнее время часто ссорились и собирались развестись. В полиции AP заявили, что готовятся предъявить Аманде Родригес официальное обвинение.",Спорт,Все,2009/07/12
https://lenta.ru/news/2012/08/31/rfs/,"Президент ЦСКА и владелец ""Анжи"" вышли из исполкома РФС","Глава Счетной палаты России Сергей Степашин, глава ""Газпрома"" Алексей Миллер, президент футбольного ЦСКА Евгений Гинер и владелец махачкалинского ""Анжи"" Сулейман Керимов покинули состав исполкома Российского футбольного союза (РФС). Об этом сообщает ""Интерфакс"" со ссылкой на собственные источники в организации. О причинах, по которым все они покинули исполком РФС, ничего не сообщается. Ранее свою деятельность в исполнительном комитете приостановил руководитель администрации президента России Сергей Иванов. По его словам, у него хватает дел на основном месте работы. Также из исполкома вышел бывший премьер-министр Виктор Зубков. Большинство крупных бизнесменов и чиновников вошло в состав исполкома при бывшем президенте РФС Сергее Фурсенко. 4 июля 2012 года на заседании исполкома была принята отставка Фурсенко. Новый глава организации будет выбран 3 сентября. На пост президента РФС претендуют семь кандидатов. СМИ пишут, что основная борьба развернется между главой Российской футбольной премьер-лиги (РФПЛ) Сергеем Прядкиным и исполнительным директором Олимпийского комитета России (ОКР) Николаем Толстых.",Спорт,Все,2012/08/31
https://lenta.ru/news/2010/06/07/stamp/,Редчайшая почтовая марка продана за 400 тысяч фунтов,"Одна из самых редких почтовых марок в мире - британская 6d Pale Dull Purple (I.R. Official) - продана за 400 тысяч фунтов стерлингов (около 585 тысяч долларов США), сообщает в воскресенье, 6 июня, BBC News. Марка была продана компанией Stanley Gibbons Investment, специализирующейся на сделках с филателистическими раритетами. Новый владелец редчайшей марки пожелал сохранить свое имя в тайне, однако известно, что покупателем было частное лицо. 6d Pale Dull Purple (I.R. Official) была выпущена 14 марта 1904 года. Всего было напечатано 19 листов таких марок. Вскоре после поступления марки в продажу было принято решение о ее изъятии и уничтожении. Stanley Gibbons Investment приобрела раритет в середине мая 2010 года. Тогда сообщалось, что кроме марки, выставленной на продажу, известно еще лишь о двух-трех  дошедших до наших дней экземплярах, хранящихся в музейных коллекциях.",Из жизни,Все,2010/06/07
https://lenta.ru/news/2011/12/04/zyuganov/,Зюганова предложили сделать единым оппозиционным кандидатом в президенты,"Депутат Госдумы пятого созыва от КПРФ Сергей Обухов предложил сделать лидера коммунистов Геннадия Зюганова единым кандидатом в президенты от думской оппозиции, передает корреспондент ""Ленты.ру"". Таким образом, по его словам, КПРФ решила проверить ""оппозиционность"" ЛДПР и ""Справедливой России"". Вместе с этим коммунисты призвали справоросов и партию Владимира Жириновского поддержать законопроект о национализации природных ресурсов. Как заявил коммунист, этот законопроект они предложат принять одним из первых. Национализация природных ресурсов является центральным пунктом программы КПРФ. Геннадий Зюганов заявил о намерении выдвинуться в президенты России в апреле 2011 года. Его кандидатуру уже выдвинули ряд региональных отделений. Официально Зюганова выдвинет в президенты съезд КПРФ. Единым кандидатом в президенты от оппозиции себя называл лидер ""Другой России"" Эдуард Лимонов. ""Сдавать такие исторические выборы без боя нельзя. Я рассчитываю победить в душах людей"", - заявлял он. Пока официально выдвинут в президенты России только лидер ""Единой России"" Владимир Путин. Кроме того, в ЦИК обратилось несколько самовыдвиженцев. Владимир Жириновский заявлял о намерении баллотироваться в президенты от ЛДПР. Справоросы также собирались выдвинуть своего кандидата. Выборы президента состоятся 4 марта 2012 года.",Россия,Все,2011/12/04
https://lenta.ru/news/2009/11/06/docs1/,ЧФ не обнаружил пропажи секретных документов,"Черноморский флот России провел тщательную служебную проверку, которая не выявила недостачи секретных документов в частях и на кораблях флота, сообщает РИА Новости  со ссылкой на источник в силовых структурах. По словам собеседника агентства, офицеры начали проверять документацию сразу после того, как украинская сторона объявила о том, что некие граждане принесли в СБУ бумаги с секретами черноморцев. Глава СБУ Валентин Наливайченко при этом заявил, что найденные документы уже переданы российской стороне. По данным газеты ""Коммерсант-Украина"", россиянам передали Инструкцию по организации береговой системы наблюдения и Руководство по подготовке кораблей и судов ВМФ к походам, переходам, выходам на боевую подготовку, управлению ими в ходе выполнения задачи в море. В ЧФ эту информацию не подтвердили, заявив, что не будут комментировать сложившуюся ситуацию. Официальных заявлений, касающихся пропажи документов, из других источников пока также не было.",Бывший СССР,Все,2009/11/06
https://lenta.ru/news/2011/12/02/shatteredvoice/,"""Голос"" пожаловался на давление со стороны властей","Независимая ассоциация наблюдателей ""Голос"" опубликовала заявление, в котором пожаловалась на растущее давление со стороны властей. Заявление опубликовано на сайте ""Голоса"". ""Сотрудники нашего небольшого офиса ежедневно ощущают, как нарастает давление на нас как на единственную организацию, которая способна осуществить качественный и независимый мониторинг голосования"", - говорится в документе. Также в заявлении подчеркивается, что ""голос"" - ""не политическая партия"", ""не агент влияния"", ""не правительственная структура и не кремлевский проект"", ""не бизнес и не кормушка для отмывания денег"". ""Любое из обратных утверждений мы будем считать клеветой и добиваться опровержения"", - говорится в документе. Сотрудники ""Голоса"" подчеркивают, что являются гражданами России и работают для того, чтобы в стране ""исполнялись законы, благодаря которым каждый имеет право принять участие в формировании законных и ответственных органов власти всех уровней"". В ноябре 2011 года в ряде российских СМИ появились публикации с критикой деятельности ассоциации ""Голос"". Затем депутаты Андрей Назаров (""Единая Россия""), Максим Рохмистров (ЛДПР) и Антон Беляков (""Справедливая Россия"") обратились в Генпрокуратуру РФ с просьбой рассмотреть возможность приостановления деятельности ассоциации в связи с тем, что она вмешивается во внутриполитическую жизнь страны. 1 декабря в отношении ассоциации было возбуждено административное дело о нарушении избирательного законодательства в связи с совместным проектом ""Голоса"" и ""Газеты.ру"" - ""Картой нарушений"". Судебное заседание по этому делу было назначено на 2 декабря. В день заседания ""Голос"" поддержали члены Гражданского форума Россия - ЕС. ""Мы обращаем внимание российских властей на то, что такое воздействие является явно необоснованным и ставящим под угрозу существование системы независимого наблюдения за демократическими процессами в государстве. Выборы, проходящие без общественного наблюдения, теряют в своей легитимности"", - говорится в заявлении организации. Внимание общественности к ""Голосу"" было привлечено после того, как 28 ноября в офис ассоциации ворвалась съемочная группа телеканала НТВ. Видеозапись этого инцидента была опубликована на YouTube. Корреспондент канала в невежливой форме попытался выяснить, чьи интересы отстаивают наблюдатели и от кого они получают деньги. В ответ на настойчивые вопросы журналиста на протяжении примерно шести минут заместитель исполнительного директора ""Голоса"" Григорий Мельконьянц отвечал только ""Вы - сурковская пропаганда"" или ""НТВ - сурковская пропаганда"". Кроме того, Мелькоянц добавил, что сотрудники ""Голоса"" уже давали телекомпании интервью.",Россия,Все,2011/12/02
https://lenta.ru/news/2007/09/18/notax/,Правительство обнулило пошлины на процессоры,"Российское правительство с 14 октября 2007 года обнулило пошлины на импорт процессоров. На девять месяцев пошлина снижена с 10 до 0 процентов, пишет газета ""Коммерсант"". В 2007 году были обнулены пошлины на компьютерные комплектующие и готовые персональные компьютеры, но на процессоры пошлина осталась. Импортерам процессоров приходилось платить 28 процентов от таможенной стоимости товара, тогда как остальные платили только 18 процентов НДС. Участники рынка считают, что на стоимости процессоров в рознице обнуление пошлин повлияет не сильно, однако теперь условия импорта будут едины для всех. Обнуление пошлин было инициативой компании Intel. В 2006 году компания обратились в Минэкономразвития с просьбой отменить пошлины на импорт процессоров в Россию, чтобы снизить розничные цены на них. Ранее в сентябре 2007 года правительство обнулило пошлины на комплектующие к мобильным телефонам и цифровые камеры. Кроме того, была снижена возная пошлина на игровые приставки с 20 до 10 процентов.",Экономика,Все,2007/09/18
